postal_code,neighbourhood
M8Y 1A3,Mimico
M6K 1Z3,South Parkdale
M5A 2V2,Moss Park
M4M 3C3,Greenwood-Coxwell
M5A 1T3,Regent Park
M6H 3Z5,Dovercourt-Wallace Emerson-Junction
M6P 1Y5,Junction Area
M4Y 2X9,Church-Yonge Corridor
M5C 1M3,Church-Yonge Corridor
M2M 3S3, Newtonbrook East
M4M 1J2,South Riverdale
M6L 3C6,Rustic
M4C 1L7,Taylor-Massey
M5T-1P7,Kensington-Chinatown
M5B 2A1,Church-Yonge Corridor
M4T 1C1,Rosedale-Moore Park
M5C 2H4,Moss Park
M3M 2X4,Downsview-Roding-CFB
M5T 1H9,Kensington-Chinatown
M1K 1M2,Kennedy Park
M4W 1J1,North St.James Town
M5R 2T9,Annex
M1L 4A1,Clairlea-Birchmount
M6E 4X3,Caledonia-Fairbank
M2N OE3,Willowdale West 
M6C 1C2,Corso Italia-Davenport
M6E 4S8,Corso Italia-Davenport
M5V 3W3,Niagara
M1K 2B5,Kennedy Park
M5V 1X1,Waterfront Communities-The Island
M5S 2H1,University
M1P 4V8,Bendale
M5S 2P9,Palmerston-Little Italy
M5S 2P1,University
M5B 1G6,Church-Yonge Corridor
M9V 1P9,Mount Olive-Silverstone-Jamestown
M5B 2P3,Church-Yonge Corridor
M5R 2W7,Annex
M6A 2W9,Yorkdale-Glen Park
M4X 1K9,North St.James Town 
M5V 3G9,Waterfront Communities-The Island
M1M 1P8,Scarborough Village
M5V 1G8,Niagara
M3B 2T5,St.Andrew-Windfields
M5A 2R5,Moss Park
M1E 2M6,West Hill
M5A-2N2,Moss Park
M9V 2X6,Thistletown-Beaumond Heights
M5R 1K6,Annex
M6G 3B1,Annex
M6J1E6,Niagara
M6H 1P2,Dovercourt-Wallace Emerson-Junction
M5T 2V9,Kensington-Chinatown
M5V 2A9,Waterfront Communities-The Island
M5A 2N9,Moss Park
M5A 2R9,Moss Park
M5A 2N2,Moss Park
M4K 3W5,Broadview North
M4Y 2H6,Church-Yonge Corridor
M6G 2N1,Yonge-St.Clair
M4M 2V8,South Riverdale
M5T 1C3,Kensington-Chinatown
